product_id,price,competitor_price,discount,cogs,month,sales
P19,51,388,16,208,4,254
P2,434,414,1,215,2,137
P10,352,380,5,247,6,150
P13,246,178,13,246,8,142
P6,453,393,5,149,8,134
P12,60,359,1,204,7,208
P12,283,138,0,52,6,144
P20,435,262,9,242,2,103
P11,244,192,20,264,7,146
P7,168,114,4,42,11,190
P1,445,125,1,130,12,72
P1,69,248,21,53,5,230
P20,310,192,15,40,6,168
P13,342,454,24,123,10,179
P9,471,452,1,230,8,121
P3,305,365,9,50,8,179
P7,271,142,1,240,3,132
P6,442,466,15,169,12,153
P8,275,354,15,130,12,169
P9,102,273,18,57,7,221
P5,477,340,28,70,1,125
P1,404,477,6,175,1,158
P19,391,151,21,285,7,99
P10,413,316,11,256,10,123
P12,329,404,23,265,9,149
P15,130,159,14,42,7,206
P9,251,379,7,239,10,182
P20,207,499,5,258,5,228
P17,169,479,27,129,8,250
P17,108,314,26,60,2,248
P20,264,52,9,45,9,135
P12,177,134,2,166,6,171
P7,273,331,18,195,9,179
P2,258,377,16,129,2,192
P3,419,353,6,138,3,156
P17,164,499,20,202,12,249
P5,258,461,19,266,8,203
P17,63,166,25,191,1,194
P17,58,270,3,245,10,200
P17,89,203,13,293,7,194
P2,499,202,19,292,7,72
P2,286,61,21,32,1,127
P5,330,182,14,57,9,140
P1,408,353,23,178,8,157
P1,250,342,7,57,4,198
P19,295,349,20,94,10,170
P2,327,277,14,50,11,158
P12,284,320,21,281,5,153
P6,53,92,19,264,2,181
P4,203,481,27,256,9,219
P11,491,392,13,42,12,128
P17,78,375,26,78,12,244
P6,158,351,28,147,6,220
P5,147,413,8,83,3,228
P20,264,428,7,167,12,163
P2,342,476,25,82,7,217
P6,124,70,27,73,9,193
P11,375,456,25,82,3,179
P16,195,156,16,103,2,170
P16,177,385,1,75,7,205
P1,390,352,24,42,7,178
P9,91,166,23,194,4,216
P6,405,173,29,131,11,116
P16,90,448,2,287,9,245
P3,471,330,7,167,8,113
P20,83,341,11,192,1,216
P4,66,252,0,140,1,212
P19,214,100,9,131,5,148
P3,202,320,19,46,6,203
P19,427,373,2,297,3,115
P20,125,326,5,211,9,208
P7,136,190,6,53,12,194
P20,166,324,19,58,10,219
P9,411,339,22,200,6,124
P1,391,383,24,257,4,138
P8,76,430,26,217,12,241
P7,362,422,17,259,7,168
P18,336,101,10,148,8,88
P8,183,76,18,185,9,162
P1,268,206,4,204,11,156
P11,217,288,18,133,6,185
P18,147,205,10,121,6,163
P10,317,340,23,215,8,159
P3,286,185,11,210,12,135
P7,358,193,9,199,5,105
P16,443,155,7,216,3,74
P16,222,469,23,204,12,233
P20,450,207,27,251,3,101
P17,459,195,27,262,6,79
P2,239,51,8,191,2,107
P1,171,482,3,163,6,227
P16,95,126,4,253,6,171
P12,113,181,20,182,8,199
P5,179,139,7,62,7,166
P5,359,394,22,84,8,178
P9,412,399,8,36,9,175
P9,242,312,14,273,6,177
P3,356,400,14,155,3,164
P19,230,157,15,41,10,163
P16,341,123,13,45,3,120
P16,420,88,7,237,11,83
P3,331,446,17,72,12,184
P20,78,208,9,164,1,206
P1,198,120,27,257,11,152
P20,316,496,19,140,5,194
P11,345,361,5,189,4,138
P17,60,290,11,293,9,219
P8,213,475,1,254,9,205
P4,162,494,6,246,5,233
P6,236,347,15,74,10,193
P8,344,489,2,243,4,183
P20,281,85,12,88,7,121
P3,276,133,2,161,6,145
P16,359,423,26,133,4,159
P3,147,312,17,224,10,208
P18,104,359,10,186,2,231
P14,160,434,7,127,1,221
P18,201,221,5,255,4,165
P2,295,425,0,234,4,185
P3,455,222,27,108,1,88
P16,118,411,0,153,6,236
P9,361,96,22,247,4,72
P4,338,428,7,33,1,174
P1,299,190,4,119,1,154
P4,85,424,27,133,1,253
P1,288,455,15,148,8,185
P14,197,167,10,162,10,161
P16,276,326,4,125,8,192
P20,293,263,3,172,2,130
P8,386,269,29,57,11,136
P7,495,442,5,262,7,131
P3,414,75,13,46,8,111
P17,250,58,21,88,8,137
P1,203,320,18,119,11,187
P16,499,59,8,228,10,64
P12,122,427,11,55,11,264
P19,250,170,10,54,7,165
P14,345,174,13,296,5,100
P6,66,219,22,210,1,213
P6,178,121,15,97,12,166
P13,266,201,0,78,9,155
P19,110,257,12,204,7,218
P8,476,98,22,81,2,88
P2,153,203,20,131,6,180
P1,91,396,20,245,2,251
P15,74,342,29,217,1,242
P1,88,117,12,86,7,201
P5,340,99,1,76,2,125
P16,180,201,3,188,2,157
P19,278,68,27,203,11,123
P4,157,149,5,271,5,152
P3,221,109,25,270,5,125
P17,484,216,26,34,7,111
P17,151,251,22,113,1,229
P12,403,394,26,277,8,124
P14,61,195,4,83,3,214
P6,324,452,24,190,4,192
P3,150,213,2,255,9,174
P9,93,488,0,44,4,264
P5,492,291,3,253,10,73
P17,354,118,24,90,12,122
P14,494,224,19,151,5,83
P3,66,98,1,75,7,170
P1,379,157,25,91,4,133
P20,106,275,29,115,1,235
P1,360,210,29,239,9,125
P3,352,168,4,107,4,121
P18,61,198,2,231,9,209
P10,367,199,28,252,6,120
P3,129,481,27,251,1,254
P8,265,342,28,32,12,196
P14,388,192,8,35,3,135
P18,313,468,19,122,11,200
P15,198,209,5,37,2,183
P2,130,60,17,264,9,142
P10,264,187,5,137,12,149
P2,423,127,18,190,1,80
P17,247,126,27,238,9,134
P8,249,490,11,269,9,193
P1,74,303,24,79,8,231
P9,138,458,10,40,8,272
P11,317,307,1,185,11,161
P16,192,369,14,99,12,232
P7,108,340,11,198,1,209
P10,459,312,11,97,11,121
P3,414,134,8,281,8,65
P18,75,195,20,77,10,211
P13,96,372,23,213,3,226
P7,337,91,1,216,11,108
P4,315,423,21,119,7,184
P13,65,174,2,168,11,210
P20,248,216,11,118,1,168
P1,450,474,27,48,1,191
P8,456,290,29,183,10,102
P14,331,329,25,289,5,162
P16,135,237,15,137,5,212
P14,299,351,20,88,8,171
P12,440,68,27,154,7,89
P19,319,117,23,136,8,128
P15,384,267,25,274,6,121
P2,166,151,29,276,6,159
P2,56,91,0,37,2,190
P19,186,337,20,170,6,225
P17,420,216,2,37,5,114
P20,225,158,19,123,3,169
P10,377,85,1,68,6,89
P6,364,281,8,110,8,132
P15,264,278,18,216,9,174
P11,131,402,14,113,1,223
P5,272,213,17,117,3,153
P1,421,436,25,271,3,146
P8,472,122,10,122,11,76
P12,451,185,24,115,8,100
P12,492,402,22,73,1,140
P5,152,428,15,166,5,237
P7,322,119,21,103,3,134
P4,63,474,16,65,2,267
P6,208,245,4,130,8,172
P13,201,318,11,185,3,202
P20,157,98,10,284,7,158
P15,237,365,29,200,12,182
P3,350,179,14,245,11,116
P8,147,493,26,199,1,227
P20,180,54,2,281,6,130
P16,342,477,0,84,3,203
P13,220,76,19,120,8,137
P18,473,209,28,130,6,92
P10,232,198,15,184,12,166
P19,413,313,1,170,2,106
P17,88,279,1,202,6,203
P19,64,249,2,39,7,233
P5,425,99,7,257,5,63
P9,53,116,23,294,3,187
P12,398,349,27,277,4,143
P1,458,430,14,276,4,132
P1,446,107,6,184,6,74
P15,259,308,5,63,10,176
P2,210,391,8,158,1,207
P16,65,375,19,189,11,244
P8,475,179,27,118,4,99
P13,157,264,0,122,10,188
P1,431,221,7,270,4,89
P16,499,307,22,146,10,98
P7,360,151,22,123,1,120
P5,276,258,2,192,9,142
P3,219,340,3,128,4,179
P12,83,403,25,142,7,256
P16,463,335,24,120,12,130
P19,300,165,14,235,3,134
P5,296,313,5,46,10,167
P14,318,199,14,202,12,135
P5,190,349,20,145,3,213
P15,323,491,2,210,8,185
P17,465,85,24,120,8,69
P14,145,382,20,111,11,233
P20,276,336,20,143,12,183
P5,428,352,13,286,1,119
P12,88,360,19,87,10,225
P16,351,257,13,183,2,135
P16,78,155,3,145,8,216
P7,495,495,11,295,1,122
P4,367,207,16,232,12,108
P1,294,170,6,70,8,145
P5,285,104,8,134,8,129
P10,234,449,2,222,2,210
P5,321,61,27,266,4,90
P4,489,194,12,250,6,80
P2,285,449,14,97,12,207
P20,288,445,17,226,11,187
P10,426,185,18,285,9,93
P19,315,52,0,168,8,109
P1,463,193,5,178,12,93
P5,458,79,26,128,8,67
P13,408,286,26,105,7,145
P4,389,328,22,138,9,145
P16,438,397,26,217,2,140
P16,114,164,26,228,3,189
P2,226,153,1,183,10,143
P17,52,167,23,69,8,234
P20,478,54,13,162,6,56
P12,191,409,5,161,10,199
P18,425,297,13,113,9,123
P3,207,413,3,271,10,196
P1,373,370,20,145,4,169
P1,195,170,7,138,8,171
P19,495,335,29,250,10,99
P11,342,198,2,70,3,155
P5,202,133,18,176,3,160
P12,481,455,29,141,8,159
P3,242,280,13,132,5,175
P1,486,337,26,75,3,132
P1,122,210,19,224,10,200
P8,448,321,16,69,11,143
P10,354,87,24,218,1,111
P11,426,275,7,193,3,120
P12,393,191,23,53,12,123
P13,189,341,13,53,9,206
P12,236,200,25,33,5,181
P14,342,163,5,210,12,120
P2,110,286,22,277,10,205
P19,476,115,21,145,2,86
P18,429,410,15,98,7,165
P3,247,390,24,283,2,178
P17,344,307,18,210,4,137
P8,489,298,13,198,12,98
P10,368,498,18,278,7,173
P2,351,380,2,217,4,144
P19,393,372,9,83,7,166
P9,60,229,18,167,7,224
P7,111,239,8,197,1,199
P4,382,456,27,132,6,162
P18,275,203,19,114,9,143
P13,202,245,12,241,2,173
P11,248,360,6,32,3,176
P4,101,311,13,208,10,227
P4,309,468,8,67,5,196
P10,108,455,26,268,9,277
P5,121,476,27,198,4,275
P9,197,192,22,59,1,182
P3,398,391,24,219,4,147
P17,112,365,27,54,6,257
P3,359,150,18,141,5,134
P16,422,293,14,235,1,99
P4,292,61,19,214,4,94
P18,415,288,13,76,6,125
P17,379,98,23,257,10,97
P7,156,91,5,68,10,172
P5,275,215,20,45,4,176
P12,362,131,28,51,9,114
P17,267,478,3,242,5,169
P13,474,340,7,178,8,120
P3,290,207,16,270,9,127
P9,308,265,29,88,10,146
P17,425,207,8,231,5,96
P17,311,183,0,61,6,145
P20,54,116,23,191,1,198
P16,310,385,19,284,11,160
P13,103,56,24,283,12,162
P19,96,485,13,38,7,267
P17,264,63,10,168,4,108
P4,226,122,20,39,11,155
P12,58,448,2,243,2,254
P9,148,454,8,77,5,245
P19,69,212,26,140,12,222
P12,427,115,13,182,3,73
P9,290,396,29,152,6,189
P7,110,179,8,131,8,171
P14,428,468,3,270,7,141
P20,468,255,26,220,3,115
P19,227,325,3,246,8,159
P15,387,305,27,80,2,144
P16,111,315,7,110,10,225
P5,194,74,1,117,9,157
P3,265,499,8,223,4,197
P12,52,330,28,133,1,244
P20,209,302,13,125,8,172
P4,276,359,21,227,7,177
P16,318,338,8,30,11,193
P7,169,213,23,196,5,186
P13,430,144,22,155,10,95
P10,138,319,15,110,5,222
P7,378,370,28,280,7,146
P14,117,159,29,198,5,183
P5,447,385,16,102,8,148
P3,406,359,15,170,11,142
P11,147,287,29,99,6,218
P11,316,430,11,291,5,157
P18,154,485,2,274,9,237
P15,489,436,10,32,11,148
P12,372,474,13,92,2,174
P9,172,439,17,78,1,246
P10,78,74,20,105,8,185
P12,186,190,20,204,12,163
P17,244,166,4,138,3,140
P6,458,441,15,212,11,119
P7,275,454,19,221,12,200
P14,381,74,4,94,12,74
P13,219,128,2,129,12,135
P8,58,117,11,61,7,184
P10,89,222,0,157,10,201
P9,74,493,20,72,11,277
P18,310,61,28,107,8,119
P2,444,337,8,299,6,97
P5,492,177,28,191,12,70
P5,275,145,8,218,10,133
P6,173,141,3,276,9,144
P19,87,190,2,245,7,191
P8,377,80,16,197,10,82
P16,300,383,1,222,5,166
P13,438,69,23,42,8,102
P1,225,195,0,269,2,150
P20,139,365,7,176,7,213
P17,451,496,12,233,4,149
P7,86,439,22,109,9,259
P13,365,209,14,72,12,132
P4,225,398,7,118,1,200
P4,333,92,11,177,7,104
P6,130,303,21,124,6,221
P19,163,179,11,180,8,164
P12,89,109,13,31,5,188
P7,350,200,14,51,1,123
P10,273,336,14,36,1,172
P19,367,54,8,235,9,69
P7,398,467,18,143,10,170
P3,164,315,25,112,6,206
P13,235,394,19,208,10,202
P13,372,179,28,239,5,114
P18,105,431,21,153,1,230
P20,89,316,7,142,6,232
P8,403,227,20,41,6,138
P9,89,302,18,155,3,217
P7,396,464,5,82,8,172
P1,286,105,19,169,1,119
P3,338,132,24,126,1,125
P13,311,442,28,34,6,193
P17,265,148,18,86,10,132
P1,196,198,3,98,1,168
P6,385,378,22,147,6,155
P6,217,205,6,88,1,166
P12,141,239,27,62,6,200
P13,402,420,27,79,3,165
P13,108,312,3,48,8,229
P15,108,129,21,243,6,179
P16,353,449,11,226,11,168
P11,218,301,12,76,1,186
P5,318,146,2,196,5,126
P4,412,309,21,170,8,119
P3,94,309,11,113,3,232
P19,394,152,1,211,12,103
P20,230,89,23,108,6,154
P18,219,322,1,244,5,172
P15,405,150,26,43,6,111
P9,240,408,22,244,10,206
P17,204,429,8,157,1,198
P14,471,357,0,277,7,92
P15,237,270,7,58,9,176
P1,56,357,22,231,2,254
P3,182,469,5,86,10,236
P16,284,173,5,247,5,117
P11,94,471,21,91,10,264
P12,363,280,24,186,4,134
P10,298,227,17,231,6,134
P16,80,112,16,46,6,211
P8,72,165,28,35,11,208
P6,475,240,11,87,2,118
P12,443,111,5,198,2,80
P8,209,305,25,111,4,210
P4,412,56,26,248,1,71
P8,486,204,7,206,9,76
P18,207,141,18,233,7,137
P5,88,63,27,100,12,184
P9,464,278,9,295,7,96
P4,131,135,0,127,3,187
P17,405,182,24,237,11,92
P9,307,232,28,31,12,161
P1,255,435,12,153,3,199
P20,126,111,16,103,1,168
P13,61,268,2,195,3,222
P16,344,454,7,51,3,178
P13,499,295,13,183,4,95
P14,273,279,2,248,4,145
P3,62,128,15,186,3,188
P6,95,198,12,259,10,191
P18,204,187,19,49,12,178
P19,162,363,23,70,8,224
P5,282,425,16,177,8,183
P15,66,472,12,137,1,270
P2,409,438,28,113,7,184
P10,272,114,5,163,11,128
P18,403,62,16,236,2,85
P13,237,262,13,295,1,144
P5,497,291,16,102,3,108
P1,393,262,29,77,4,130
P1,414,230,7,262,6,84
P18,212,387,10,129,10,198
P15,375,222,19,88,5,144
P17,463,209,27,287,4,97
P11,123,213,0,94,8,198
P17,282,237,25,112,11,148
P13,273,444,6,183,12,189
P1,368,240,20,295,4,121
P2,461,454,20,108,10,153
P9,109,357,16,179,12,210
P3,384,305,29,77,2,143
P1,271,232,9,277,3,141
P16,86,166,10,127,6,205
P6,327,331,21,54,8,151
P17,245,245,29,97,8,178
P5,453,83,8,36,11,82
P5,401,101,8,166,9,95
P6,291,161,23,193,7,144
P3,373,301,4,112,2,144
P5,268,131,16,167,8,129
P5,241,281,8,102,7,158
P10,66,276,16,266,8,212
P10,61,282,23,75,12,252
P19,455,270,20,135,3,127
P17,450,485,18,291,7,149
P14,443,462,26,205,10,156
P9,423,471,6,195,9,154
P14,242,91,22,174,3,133
P1,71,70,8,83,10,187
P19,169,91,6,207,6,166
P13,259,446,12,273,2,180
P13,355,162,10,156,2,131
P4,319,154,13,161,5,122
P1,241,241,18,122,5,185
P17,224,66,10,102,7,126
P8,334,169,12,277,12,117
P2,253,442,13,72,2,204
P8,213,474,12,70,11,215
P7,300,178,0,199,7,127
P2,276,179,7,241,5,142
P3,485,109,11,197,6,53
P18,430,97,18,68,8,77
P12,56,78,11,274,10,175
P1,78,146,7,180,12,190
P12,444,59,7,140,4,73
P5,82,291,28,76,7,249
P17,183,363,20,92,6,217
P16,416,493,12,254,10,172
P15,128,281,11,98,2,215
P15,465,326,28,232,8,113
P5,484,333,15,90,10,103
P14,107,252,0,190,9,196
P2,75,296,12,45,5,234
P11,479,339,25,123,10,133
P19,275,313,6,167,4,171
P7,334,492,27,67,6,193
P6,53,263,25,156,8,235
P2,148,249,4,193,11,194
P6,446,482,7,106,3,170
P18,88,128,24,203,10,199
P2,320,450,26,120,11,202
P18,424,493,13,267,11,151
P15,334,392,22,293,1,163
P19,206,393,29,208,4,222
P2,124,222,12,238,4,176
P20,421,118,14,102,1,90
P6,337,465,22,136,9,181
P1,179,477,16,211,3,232
P15,224,498,14,66,5,245
P10,133,136,19,166,6,174
P19,71,150,17,85,8,184
P17,76,57,17,216,6,171
P5,244,382,1,287,3,184
P4,386,249,3,87,6,132
P10,431,136,29,152,1,101
P17,285,92,0,217,4,108
P10,489,434,3,259,6,102
P17,141,158,17,197,7,183
P20,70,484,4,143,11,255
P5,352,457,18,281,11,188
P2,406,201,14,136,10,117
P6,492,66,27,66,3,66
P2,133,182,7,121,9,181
P13,311,197,19,47,12,149
P11,196,326,16,92,12,202
P11,490,281,0,179,7,102
P16,436,363,11,168,1,132
P11,306,464,25,215,2,184
P19,107,415,18,214,1,257
P15,429,277,14,234,11,110
P16,471,188,8,289,9,79
P11,64,485,6,243,9,250
P16,211,448,1,285,7,201
P8,494,260,28,164,10,104
P4,212,440,8,90,3,200
P8,369,77,9,117,5,117
P4,330,100,1,236,4,110
P3,329,491,18,158,7,188
P3,61,310,10,32,9,234
P18,323,310,12,271,12,147
P19,320,399,9,150,2,174
P19,257,401,13,131,8,200
P5,76,57,17,67,9,192
P18,121,369,18,162,10,235
P10,109,187,21,231,10,206
P6,479,87,8,50,9,78
P1,194,160,24,271,10,148
P5,142,417,6,138,7,243
P9,358,269,27,113,9,165
P12,57,386,2,112,9,281
P14,128,272,19,98,3,204
P2,76,185,5,158,4,203
P17,223,305,26,225,2,163
P14,99,409,20,169,10,250
P13,248,458,1,263,3,185
P9,436,378,28,52,11,172
P15,398,499,5,182,11,156
P15,497,483,2,90,5,122
P11,477,98,15,81,5,71
P16,230,341,29,182,6,175
P17,73,431,7,266,7,248
P4,365,373,1,61,7,138
P1,427,127,16,84,1,97
P8,436,154,8,65,2,76
P17,453,218,29,139,12,105
P3,95,266,11,206,9,226
P20,64,427,2,126,10,258
P15,202,168,10,242,2,145
P15,271,239,0,166,6,149
P14,255,304,22,35,11,191
P14,322,419,12,138,11,184
P2,431,315,14,64,1,120
P13,285,198,25,68,3,165
P14,389,213,4,179,2,82
P19,277,189,20,147,3,143
P7,58,396,29,290,5,242
P3,215,307,16,116,11,199
P15,481,423,24,105,10,142
P14,493,318,22,243,6,88
P11,368,230,23,268,9,110
P15,263,209,24,194,12,157
P13,166,400,5,116,11,220
P18,435,449,27,170,10,150
P6,393,337,20,189,12,135
P3,121,337,21,75,12,241
P19,444,429,10,141,4,138
P15,113,275,17,74,7,221
P5,254,60,3,276,6,131
P10,258,59,2,133,2,107
P7,121,320,12,114,10,203
P17,326,322,22,163,11,169
P7,323,473,8,137,11,181
P12,369,451,20,47,11,181
P17,387,232,5,123,8,112
P13,415,202,25,179,7,107
P20,144,364,29,275,7,232
P4,215,383,27,238,8,209
P10,81,173,11,155,12,208
P3,60,163,1,264,12,174
P9,350,327,2,151,11,134
P13,266,463,2,167,1,168
P18,338,262,27,144,1,142
P15,151,221,11,191,8,194
P4,474,337,14,230,4,114
P15,441,484,8,263,5,139
P2,316,223,22,57,8,154
P15,263,162,7,40,5,146
P8,228,425,10,235,10,200
P8,137,454,15,196,4,245
P17,90,171,25,276,12,175
P12,450,81,26,76,6,89
P19,125,271,24,275,12,210
P10,426,168,21,156,5,96
P9,95,88,3,176,7,180
P5,209,317,27,147,10,227
P6,129,282,0,181,7,198
P20,359,480,23,101,4,193
P2,135,67,6,166,12,151
P13,141,198,1,204,5,179
P6,197,446,23,48,3,241
P5,210,198,27,224,4,169
P1,251,175,4,204,4,131
P6,473,441,6,170,3,134
P6,465,351,3,275,10,119
P16,291,409,4,122,5,188
P4,402,287,23,268,5,131
P11,51,184,0,234,11,195
P9,274,200,0,77,7,157
P3,338,285,14,274,4,137
P19,282,273,19,157,4,154
P8,463,252,18,46,9,119
P5,466,305,28,100,6,115
P4,126,135,9,298,4,157
P6,165,199,27,36,2,202
P2,203,284,17,132,6,194
P20,455,394,27,222,2,121
P11,152,71,2,270,5,153
P4,243,397,10,91,6,208
P15,215,334,14,46,4,197
P6,408,318,26,200,3,118
P17,139,307,29,54,7,227
P6,223,78,10,280,2,121
P19,171,262,16,282,11,182
P2,192,485,16,236,6,220
P15,155,332,5,58,4,196
P11,424,99,4,146,6,76
P8,477,144,7,173,4,68
P19,354,456,1,54,4,186
P13,409,137,15,185,4,86
P12,366,93,19,102,9,124
P5,172,327,23,149,7,191
P6,439,220,11,122,3,118
P4,58,470,5,115,3,265
P19,311,238,0,147,6,148
P20,122,402,3,262,6,219
P1,408,233,16,228,4,120
P20,272,52,12,235,9,107
P17,465,240,17,176,4,88
P12,90,167,4,168,9,205
P15,419,68,29,210,4,80
P1,253,72,23,59,2,146
P14,313,462,23,86,2,213
P6,377,79,26,261,5,79
P5,227,344,2,175,4,190
P11,397,157,10,77,7,103
P4,367,416,12,223,11,155
P13,133,330,3,253,5,203
P11,367,177,25,165,6,106
P3,160,278,26,51,10,207
P1,300,160,13,35,4,158
P6,432,185,21,233,12,103
P18,56,411,10,268,2,242
P10,133,235,26,214,10,201
P5,257,193,9,249,9,138
P10,437,121,18,145,10,101
P12,439,178,17,78,7,102
P2,363,413,5,202,4,158
P13,71,310,26,111,3,254
P8,459,52,28,74,10,71
P2,432,498,14,49,3,187
P20,52,437,20,250,9,241
P1,176,153,29,152,5,193
P5,346,273,9,263,3,125
P9,237,369,4,250,5,177
P17,411,411,25,32,2,149
P9,63,403,28,211,11,250
P11,61,59,4,235,4,161
P15,136,454,9,69,10,241
P6,61,433,27,88,2,271
P3,446,351,4,91,2,138
P17,74,280,2,161,12,220
P5,350,268,22,89,8,153
P12,292,460,5,151,1,180
P18,171,115,3,136,7,150
P14,196,474,17,125,5,249
P11,104,161,27,264,11,180
P9,287,62,8,91,8,137
P2,405,442,16,285,1,143
P12,222,469,28,78,11,233
P3,441,135,12,188,7,92
P3,270,283,26,153,5,186
P1,168,139,14,236,4,159
P8,358,363,29,77,7,168
P8,232,103,19,165,10,143
P11,337,61,16,230,2,99
P9,356,258,12,279,12,131
P5,349,63,15,238,1,91
P14,131,170,21,240,1,187
P3,451,467,3,221,11,153
P5,260,486,4,73,12,217
P5,199,426,4,58,1,224
P19,86,69,8,88,12,168
P14,401,124,16,100,5,76
P4,361,449,12,121,10,179
P13,410,292,1,294,7,105
P10,108,272,12,249,2,197
P18,180,119,21,244,10,158
P8,461,361,20,93,8,133
P8,251,260,26,274,4,173
P7,292,150,22,91,12,145
P8,84,235,18,199,3,203
P14,494,181,2,298,10,69
P19,142,160,9,296,11,162
P6,487,430,1,83,8,137
P1,496,181,12,45,2,84
P15,256,69,18,37,11,135
P1,402,443,25,133,11,168
P17,440,73,16,88,3,81
P1,381,276,20,69,12,148
P15,354,203,13,266,3,111
P2,399,342,11,123,10,123
P14,262,279,20,251,11,157
P8,208,359,11,233,1,199
P8,491,408,10,167,6,119
P19,494,454,6,236,2,119
P7,73,251,3,110,1,228
P19,453,87,18,247,2,58
P6,342,479,0,31,12,174
P6,53,309,27,207,6,237
P3,269,237,23,175,4,155
P7,413,106,28,253,6,76
P19,431,478,2,91,12,156
P8,69,69,12,268,9,177
P10,493,322,14,224,10,101
P20,201,168,1,195,12,157
P15,99,120,10,251,10,192
P15,226,53,3,90,8,131
P1,484,270,18,158,1,104
P20,145,63,28,202,8,157
P7,154,52,16,185,9,145
P4,469,265,2,139,6,93
P6,299,278,27,298,10,144
P1,166,385,17,103,5,228
P5,403,235,7,236,6,129
P1,277,104,21,233,6,117
P4,115,437,24,190,9,241
P2,384,425,23,57,4,174
P10,467,303,25,286,2,108
P5,469,73,18,194,11,66
P10,311,211,4,92,11,154
P1,344,207,6,51,9,111
P6,475,131,20,99,2,59
P13,292,452,7,125,10,188
P15,420,208,27,192,9,120
P4,235,237,4,108,2,152
